Income,Tax,Effective Rate,Marginal Rate
25300,3819.8281,0.15098135,0.25800002
25400,3845.628,0.15140267,0.25800002
25500,3871.4282,0.15182072,0.25800002
25600,3897.228,0.15223546,0.25800002
25700,3923.0283,0.15264702,0.25800002
25800,3948.8281,0.15305535,0.25800002
25900,3974.628,0.15346053,0.25800002
26000,4000.4282,0.15386263,0.25800002
26100,4026.228,0.1542616,0.25800002
26200,4052.0283,0.15465757,0.25800002
26300,4077.8281,0.1550505,0.25800002
26400,4103.6284,0.15544046,0.25800002
26500,4129.428,0.15582748,0.25800002
26600,4155.228,0.15621158,0.25800002
26700,4181.0283,0.15659282,0.25800002
26800,4206.828,0.1569712,0.25800002
26900,4232.6284,0.15734679,0.25800002
27000,4258.428,0.15771957,0.25800002
27100,4284.228,0.1580896,0.25800002
27200,4310.0283,0.15845692,0.25800002
27300,4335.828,0.15882154,0.25800002
27400,4361.628,0.1591835,0.25800002
27500,4387.4277,0.15954283,0.25800002
27600,4413.228,0.15989956,0.25800002
27700,4439.028,0.16025372,0.25800002
27800,4464.828,0.16060533,0.25800002
27900,4490.628,0.1609544,0.25800002
28000,4516.4277,0.16130099,0.25800002
28100,4542.228,0.16164513,0.25800002
28200,4568.028,0.1619868,0.25800002
28300,4593.828,0.16232608,0.25800002
28400,4619.628,0.16266295,0.25800002
28500,4645.4277,0.16299747,0.25800002
28600,4671.228,0.16332965,0.25800002
28700,4697.028,0.16365951,0.25800002
28800,4722.828,0.16398709,0.25800002
28900,4748.628,0.16431239,0.25800002
29000,4774.4277,0.16463543,0.25800002
29100,4800.228,0.16495629,0.25800002
29200,4826.028,0.16527493,0.25800002
29300,4851.828,0.1655914,0.25800002
29400,4877.628,0.16590571,0.25800002
29500,4903.4277,0.1662179,0.25800002
29600,4929.228,0.16652797,0.25800002
29700,4955.028,0.16683595,0.25800002
29800,4980.828,0.16714188,0.25800002
29900,5006.628,0.16744575,0.25800002
30000,5032.4277,0.16774759,0.25800002
30100,5058.228,0.16804744,0.25800002
30200,5084.028,0.16834529,0.25800002
30300,5109.828,0.1686412,0.25800002
30400,5135.628,0.16893514,0.25800002
30500,5161.4277,0.16922714,0.25800002
30600,5187.228,0.16951725,0.25800002
30700,5213.028,0.16980547,0.25800002
30800,5238.828,0.17009182,0.25800002
30900,5264.628,0.17037632,0.25800002
31000,5290.4277,0.17065896,0.25800002
31100,5318.1777,0.17100249,0.2775
31200,5345.9277,0.17134383,0.2775
31300,5373.6777,0.171683,0.2775
31400,5401.4277,0.17201999,0.2775
31500,5429.1777,0.17235485,0.2775
31600,5456.9277,0.17268759,0.2775
31700,5484.6777,0.17301823,0.2775
31800,5512.4277,0.17334679,0.2775
31900,5540.1777,0.17367329,0.2775
32000,5567.9277,0.17399774,0.2775
32100,5595.6777,0.17432018,0.2775
32200,5623.4277,0.17464061,0.2775
32300,5651.1777,0.17495906,0.2775
32400,5678.9277,0.17527555,0.2775
32500,5706.6777,0.17559008,0.2775
32600,5734.4277,0.1759027,0.2775
32700,5762.1777,0.17621338,0.2775
32800,5789.9277,0.17652218,0.2775
32900,5817.6777,0.17682911,0.2775
33000,5845.4277,0.17713417,0.2775
33100,5873.1777,0.1774374,0.2775
33200,5900.9277,0.17773879,0.2775
33300,5928.6777,0.17803837,0.2775
33400,5956.4277,0.17833616,0.2775
33500,5984.1777,0.17863217,0.2775
33600,6011.9277,0.17892642,0.2775
33700,6039.6777,0.17921892,0.2775
33800,6067.4277,0.1795097,0.2775
33900,6095.1777,0.17979875,0.2775
34000,6122.9277,0.1800861,0.2775
34100,6150.6777,0.18037178,0.2775
34200,6178.4277,0.18065578,0.2775
34300,6206.1777,0.18093812,0.2775
34400,6233.9277,0.18121883,0.2775
34500,6261.6777,0.1814979,0.2775
34600,6289.4277,0.18177536,0.2775
34700,6317.1777,0.18205123,0.2775
34800,6344.9277,0.18232551,0.2775
34900,6372.6777,0.18259822,0.2775
35000,6400.4277,0.18286936,0.2775
35100,6428.1777,0.18313897,0.2775
35200,6455.9277,0.18340704,0.2775
35300,6483.6777,0.18367359,0.2775
35400,6511.4277,0.18393864,0.2775
35500,6539.1777,0.1842022,0.2775
35600,6566.9277,0.18446426,0.2775
35700,6594.6777,0.18472487,0.2775
35800,6622.4277,0.18498401,0.2775
